customer_id,region,signup_date
220,Sudeste,2023-04-15
221,Sudeste,2023-02-20
222,Sul,2023-03-06
223,Nordeste,2025-02-20
224,Norte,2025-01-27
225,Sudeste,2025-01-09
226,Centro-Oeste,2023-02-20
227,Sudeste,2023-03-11
228,Sul,2023-09-10
229,Sul,2024-05-23
230,Sudeste,2023-10-28
231,Sudeste,2024-03-14
232,Sudeste,2023-06-05
233,Norte,2024-10-19
234,Sul,2023-10-10
235,Centro-Oeste,2023-03-01
236,Nordeste,2024-10-30
237,Sul,2025-03-23
238,Nordeste,2023-01-14
239,Sudeste,2024-01-29
240,Sudeste,2025-01-14
241,Nordeste,2024-09-27
242,Nordeste,2025-02-09
243,Sudeste,2024-01-09
244,Sul,2023-12-02
245,Sul,2024-09-30
246,Centro-Oeste,2023-05-19
247,Sul,2023-08-04
248,Sudeste,2024-06-24
249,Sudeste,2024-08-24
250,Sudeste,2023-04-18
251,Nordeste,2024-04-02
252,Centro-Oeste,2023-11-25
253,Sul,2024-03-27
254,Sudeste,2025-05-12
255,Sudeste,2023-03-10
256,Nordeste,2025-06-14
257,Nordeste,2024-02-09
258,Sudeste,2024-11-25
259,Sudeste,2024-01-18
260,Sul,2023-10-07
261,Sudeste,2024-11-24
262,Nordeste,2024-09-10
263,Sudeste,2023-05-10
264,Sudeste,2024-09-26
265,Centro-Oeste,2024-11-08
266,Sudeste,2023-12-16
267,Sudeste,2025-04-13
268,Sudeste,2024-07-30
269,Sudeste,2023-10-28
270,Sudeste,2023-01-10
271,Sudeste,2024-08-30
272,Sudeste,2023-07-08
273,Sudeste,2024-11-11
274,Sul,2024-04-17
275,Nordeste,2024-02-25
276,Sudeste,2023-05-28
277,Sudeste,2024-10-02
278,Sul,2023-05-30
279,Centro-Oeste,2024-01-11
280,Centro-Oeste,2025-01-22
281,Sudeste,2025-04-08
282,Sudeste,2025-06-09
283,Sudeste,2025-05-12
284,Sudeste,2024-05-15
285,Sul,2023-06-30
286,Sudeste,2025-01-25
287,Sudeste,2024-12-22
288,Sudeste,2025-06-10
289,Sul,2024-08-08
290,Sudeste,2023-05-08
291,Nordeste,2024-03-28
292,Sudeste,2024-02-08
293,Centro-Oeste,2025-01-28
294,Sudeste,2023-12-20
295,Nordeste,2023-10-23
296,Centro-Oeste,2023-03-14
297,Norte,2025-01-21
298,Nordeste,2024-11-10
299,Nordeste,2023-02-07
300,Sul,2024-01-26
301,Nordeste,2024-03-07
302,Sudeste,2024-02-27
303,Sul,2025-04-07
304,Sul,2023-05-16
305,Centro-Oeste,2023-10-03
306,Sul,2023-06-12
307,Sudeste,2023-08-08
308,Sul,2025-03-27
309,Sudeste,2025-04-26
310,Sudeste,2023-02-10
311,Sul,2024-07-22
312,Sudeste,2023-07-29
313,Sudeste,2023-06-23
314,Sudeste,2023-09-20
315,Sudeste,2023-06-24
316,Sudeste,2024-03-17
317,Sudeste,2025-06-15
318,Nordeste,2024-06-11
319,Sudeste,2024-10-12
320,Centro-Oeste,2024-03-19
321,Centro-Oeste,2023-01-13
322,Sul,2023-03-17
323,Sudeste,2023-08-30
324,Sul,2023-08-08
325,Nordeste,2025-01-26
326,Nordeste,2025-01-29
327,Nordeste,2025-02-07
328,Sul,2024-07-27
329,Sul,2024-05-15
330,Sudeste,2024-08-07
331,Nordeste,2024-01-02
332,Sudeste,2024-08-26
333,Nordeste,2024-12-15
334,Centro-Oeste,2024-11-17
335,Sudeste,2024-07-06
336,Sul,2023-02-22
337,Sudeste,2024-10-14
338,Nordeste,2023-11-26
339,Sudeste,2024-10-31
340,Centro-Oeste,2024-04-30
341,Sudeste,2025-03-04
342,Norte,2023-11-01
343,Nordeste,2025-04-18
344,Sul,2025-01-30
345,Nordeste,2023-10-25
346,Nordeste,2024-03-10
347,Centro-Oeste,2024-04-23
348,Sudeste,2024-11-22
349,Sul,2024-09-12
350,Sudeste,2025-02-05
351,Sul,2023-11-29
352,Sudeste,2024-03-30
353,Sul,2024-01-23
354,Sul,2025-03-29
355,Sul,2023-10-02
356,Sul,2024-06-12
357,Nordeste,2023-04-19
358,Nordeste,2025-02-04
359,Sul,2023-12-12
360,Sul,2023-11-03
361,Centro-Oeste,2024-06-08
362,Sudeste,2024-03-24
363,Sudeste,2025-02-02
364,Sudeste,2024-04-23
365,Nordeste,2024-04-10
366,Sudeste,2023-04-05
367,Nordeste,2023-01-20
368,Nordeste,2023-12-25
369,Sudeste,2025-06-17
370,Centro-Oeste,2025-04-05
371,Nordeste,2024-07-20
372,Sudeste,2024-07-21
373,Sudeste,2023-12-19
374,Sudeste,2023-06-09
375,Sudeste,2023-01-08
376,Sudeste,2023-11-01
377,Centro-Oeste,2023-10-12
378,Sudeste,2023-06-22
379,Sudeste,2023-08-22
380,Nordeste,2023-01-23
381,Sul,2024-07-01
382,Centro-Oeste,2025-04-14
383,Nordeste,2024-09-13
384,Sul,2024-02-08
385,Sudeste,2024-01-14
386,Norte,2023-10-04
387,Nordeste,2023-05-09
388,Norte,2024-06-22
389,Sudeste,2024-05-24
390,Centro-Oeste,2023-01-07
391,Sul,2024-01-09
392,Sudeste,2023-09-08
393,Sul,2023-06-03
394,Nordeste,2024-09-24
395,Sudeste,2024-04-18
396,Sul,2024-07-24
397,Nordeste,2024-10-04
398,Sudeste,2025-06-02
399,Sul,2024-12-23
400,Sudeste,2024-07-12
